month,day_of_month,hour,carbon_kg_kwh
1,31,13,0.1678
1,31,14,0.1689
1,31,15,0.1742
1,31,16,0.1764
1,31,17,0.1718
1,31,18,0.1699
1,31,19,0.17
1,31,20,0.1682
1,31,21,0.1633
1,31,22,0.1527
1,31,23,0.153
2,1,0,0.15
2,1,1,0.1467
2,1,2,0.1457
2,1,3,0.1445
2,1,4,0.1438
2,1,5,0.1495
2,1,6,0.1612
2,1,7,0.1688
2,1,8,0.1725
2,1,9,0.1694
2,1,10,0.1668
2,1,11,0.1698
2,1,12,0.1684
2,1,13,0.1694
2,1,14,0.1709
2,1,15,0.1739
2,1,16,0.1856
2,1,17,0.1955
2,1,18,0.1971
2,1,19,0.1934
2,1,20,0.1838
2,1,21,0.1788
2,1,22,0.1608
2,1,23,0.1543
2,2,0,0.1547
2,2,1,0.1539
2,2,2,0.1519
2,2,3,0.1492
2,2,4,0.1431
2,2,5,0.1553
2,2,6,0.1782
2,2,7,0.1865
2,2,8,0.1869
2,2,9,0.1858
2,2,10,0.1834
2,2,11,0.1772
2,2,12,0.1776
2,2,13,0.1751
2,2,14,0.1766
2,2,15,0.1793
2,2,16,0.1843
2,2,17,0.194
2,2,18,0.1946
2,2,19,0.1849
2,2,20,0.1786
2,2,21,0.1673
2,2,22,0.1416
2,2,23,0.1338
2,3,0,0.1234
2,3,1,0.1178
2,3,2,0.1182
2,3,3,0.1219
2,3,4,0.1203
2,3,5,0.1303
2,3,6,0.1547
2,3,7,0.1631
2,3,8,0.1665
2,3,9,0.1626
2,3,10,0.1703
2,3,11,0.1759
2,3,12,0.1746
2,3,13,0.1801
2,3,14,0.1835
2,3,15,0.1811
2,3,16,0.1966
2,3,17,0.1921
2,3,18,0.1852
2,3,19,0.1736
2,3,20,0.1677
2,3,21,0.1531
2,3,22,0.1335
2,3,23,0.1267
2,4,0,0.1211
2,4,1,0.1167
2,4,2,0.1145
2,4,3,0.1143
2,4,4,0.1132
2,4,5,0.1218
2,4,6,0.138
2,4,7,0.1477
2,4,8,0.1564
2,4,9,0.1487
2,4,10,0.1578
2,4,11,0.1589
2,4,12,0.1611
2,4,13,0.1558
2,4,14,0.1611
2,4,15,0.1679
2,4,16,0.1747
2,4,17,0.184
2,4,18,0.1892
2,4,19,0.1889
2,4,20,0.184
2,4,21,0.1756
2,4,22,0.149
2,4,23,0.1306
2,5,0,0.1225
2,5,1,0.1174
2,5,2,0.1189
2,5,3,0.1179
2,5,4,0.1211
2,5,5,0.1351
2,5,6,0.161
2,5,7,0.1759
2,5,8,0.1807
2,5,9,0.1792
2,5,10,0.19
2,5,11,0.1904
2,5,12,0.1915
2,5,13,0.1763
2,5,14,0.1744
2,5,15,0.1704
2,5,16,0.174
2,5,17,0.1805
2,5,18,0.1907
2,5,19,0.1859
2,5,20,0.181
2,5,21,0.1765
2,5,22,0.1573
2,5,23,0.1453
2,6,0,0.1492
2,6,1,0.1398
2,6,2,0.137
2,6,3,0.1366
2,6,4,0.138
2,6,5,0.1387
2,6,6,0.1463
2,6,7,0.1507
2,6,8,0.158
2,6,9,0.1636
2,6,10,0.1597
2,6,11,0.155
2,6,12,0.1541
2,6,13,0.1543
2,6,14,0.1494
2,6,15,0.1516
2,6,16,0.1545
2,6,17,0.1606
2,6,18,0.1633
2,6,19,0.1659
2,6,20,0.1616
2,6,21,0.1558
2,6,22,0.1463
2,6,23,0.1397
2,7,0,0.1455
2,7,1,0.1439
2,7,2,0.1383
2,7,3,0.134
2,7,4,0.1358
2,7,5,0.1397
2,7,6,0.1485
2,7,7,0.1517
2,7,8,0.1532
2,7,9,0.158
2,7,10,0.1553
2,7,11,0.1511
2,7,12,0.1496
2,7,13,0.1519
2,7,14,0.1514
2,7,15,0.1548
2,7,16,0.1564
2,7,17,0.1587
2,7,18,0.1638
2,7,19,0.1596
2,7,20,0.1564
2,7,21,0.1536
2,7,22,0.1466
2,7,23,0.1426
2,8,0,0.1409
2,8,1,0.1415
2,8,2,0.1368
2,8,3,0.1373
2,8,4,0.1433
2,8,5,0.1637
2,8,6,0.1822
2,8,7,0.1908
2,8,8,0.193
2,8,9,0.1952
2,8,10,0.1924
2,8,11,0.194
2,8,12,0.1935
2,8,13,0.1913
2,8,14,0.1921
2,8,15,0.1928
2,8,16,0.1909
2,8,17,0.1984
2,8,18,0.1993
2,8,19,0.1982
2,8,20,0.1983
2,8,21,0.2006
2,8,22,0.1895
2,8,23,0.1756
2,9,0,0.1671
2,9,1,0.1664
2,9,2,0.1533
2,9,3,0.1513
2,9,4,0.1519
2,9,5,0.1657
2,9,6,0.1824
2,9,7,0.1906
2,9,8,0.1917
2,9,9,0.1901
2,9,10,0.1959
2,9,11,0.1956
2,9,12,0.1968
2,9,13,0.2006
2,9,14,0.1974
2,9,15,0.197
2,9,16,0.1963
2,9,17,0.1998
2,9,18,0.2015
2,9,19,0.2042
2,9,20,0.2017
2,9,21,0.1985
2,9,22,0.1856
2,9,23,0.1742
2,10,0,0.1728
2,10,1,0.165
2,10,2,0.1642
2,10,3,0.164
2,10,4,0.1652
2,10,5,0.1825
2,10,6,0.201
2,10,7,0.2077
2,10,8,0.2038
2,10,9,0.2013
2,10,10,0.2001
2,10,11,0.1966
2,10,12,0.1974
2,10,13,0.1976
2,10,14,0.1961
2,10,15,0.1999
2,10,16,0.2038
2,10,17,0.2065
2,10,18,0.2096
2,10,19,0.2134
2,10,20,0.2074
2,10,21,0.2045
2,10,22,0.1918
2,10,23,0.1813
2,11,0,0.1752
2,11,1,0.1714
2,11,2,0.1707
2,11,3,0.1682
2,11,4,0.1648
2,11,5,0.1714
2,11,6,0.186
2,11,7,0.2014
2,11,8,0.2032
2,11,9,0.1999
2,11,10,0.2005
2,11,11,0.1986
2,11,12,0.2114
2,11,13,0.217
2,11,14,0.225
2,11,15,0.2235
2,11,16,0.2199
2,11,17,0.2251
2,11,18,0.2365
2,11,19,0.2351
2,11,20,0.233
2,11,21,0.2196
2,11,22,0.2045
2,11,23,0.1934
2,12,0,0.1812
2,12,1,0.1763
2,12,2,0.1803
2,12,3,0.1785
2,12,4,0.1805
2,12,5,0.1849
2,12,6,0.1967
2,12,7,0.2066
2,12,8,0.2072
2,12,9,0.2077
2,12,10,0.1999
2,12,11,0.1894
2,12,12,0.2018
2,12,13,0.1971
2,12,14,0.1959
2,12,15,0.1974
2,12,16,0.1982
2,12,17,0.1989
2,12,18,0.2011
2,12,19,0.1959
2,12,20,0.1967
2,12,21,0.1987
2,12,22,0.1887
2,12,23,0.1849
2,13,0,0.1865
2,13,1,0.1802
2,13,2,0.1814
2,13,3,0.1815
2,13,4,0.1796
2,13,5,0.1856
2,13,6,0.1837
2,13,7,0.1866
2,13,8,0.1904
2,13,9,0.1878
2,13,10,0.1827
2,13,11,0.1882
2,13,12,0.1939
2,13,13,0.1903
2,13,14,0.1918
2,13,15,0.1927
2,13,16,0.1981
2,13,17,0.1999
2,13,18,0.21
2,13,19,0.2121
2,13,20,0.2178
2,13,21,0.2204
2,13,22,0.2147
2,13,23,0.2073
2,14,0,0.216
2,14,1,0.2195
2,14,2,0.2191
2,14,3,0.2178
2,14,4,0.2192
2,14,5,0.2237
2,14,6,0.2224
2,14,7,0.2146
2,14,8,0.2213
2,14,9,0.2291
2,14,10,0.2224
2,14,11,0.2241
2,14,12,0.2262
2,14,13,0.2274
2,14,14,0.224
2,14,15,0.2219
2,14,16,0.2252
2,14,17,0.2294
2,14,18,0.2358
2,14,19,0.2343
2,14,20,0.2274
2,14,21,0.2234
2,14,22,0.2192
2,14,23,0.2162
2,15,0,0.2251
2,15,1,0.2158
