month,day_of_month,hour,price_per_kwh
1,26,23,2.8
1,27,0,2.265
1,27,1,2.021
1,27,2,1.951
1,27,3,1.958
1,27,4,1.956
1,27,5,2.188
1,27,6,2.778
1,27,7,3.289
1,27,8,3.333
1,27,9,3.442
1,27,10,3.054
1,27,11,3.053
1,27,12,2.865
1,27,13,2.665
1,27,14,2.608
1,27,15,2.657
1,27,16,3.246
1,27,17,4.222
1,27,18,3.897
1,27,19,3.46
1,27,20,3.222
1,27,21,2.81
1,27,22,2.556
1,27,23,2.384
1,28,0,2.489
1,28,1,2.177
1,28,2,1.977
1,28,3,1.955
1,28,4,2.007
1,28,5,2.433
1,28,6,2.983
1,28,7,3.347
1,28,8,3.258
1,28,9,3.131
1,28,10,3.07
1,28,11,3.028
1,28,12,2.948
1,28,13,2.988
1,28,14,2.863
1,28,15,2.845
1,28,16,3.3
1,28,17,4.3
1,28,18,4.126
1,28,19,3.74
1,28,20,3.301
1,28,21,2.735
1,28,22,2.46
1,28,23,2.333
1,29,0,2.308
1,29,1,2.047
1,29,2,1.853
1,29,3,1.885
1,29,4,2.015
1,29,5,2.277
1,29,6,2.805
1,29,7,2.984
1,29,8,2.917
1,29,9,2.852
1,29,10,2.786
1,29,11,2.687
1,29,12,2.583
1,29,13,2.549
1,29,14,2.445
1,29,15,2.466
1,29,16,2.874
1,29,17,3.825
1,29,18,3.698
1,29,19,3.18
1,29,20,2.816
1,29,21,2.513
1,29,22,2.329
1,29,23,2.275
1,30,0,2.652
1,30,1,2.546
1,30,2,2.214
1,30,3,2.133
1,30,4,2.12
1,30,5,2.272
1,30,6,2.177
1,30,7,2.235
1,30,8,2.513
1,30,9,2.733
1,30,10,2.94
1,30,11,2.895
1,30,12,2.668
1,30,13,2.472
1,30,14,2.312
1,30,15,2.398
1,30,16,2.693
1,30,17,3.427
1,30,18,3.369
1,30,19,2.892
1,30,20,2.733
1,30,21,2.515
1,30,22,2.533
1,30,23,2.227
1,31,0,2.325
1,31,1,2.148
1,31,2,1.806
1,31,3,1.757
1,31,4,1.757
1,31,5,1.881
1,31,6,1.439
1,31,7,1.636
1,31,8,1.886
1,31,9,2.168
1,31,10,2.25
1,31,11,2.203
1,31,12,2.205
1,31,13,2.135
1,31,14,2.111
1,31,15,2.135
1,31,16,2.475
1,31,17,3.152
1,31,18,3.086
1,31,19,2.702
1,31,20,2.446
1,31,21,2.133
1,31,22,1.939
1,31,23,1.738
2,1,0,1.568
2,1,1,1.367
2,1,2,1.382
2,1,3,1.349
2,1,4,1.399
2,1,5,1.506
2,1,6,2.041
2,1,7,2.286
2,1,8,2.509
2,1,9,2.524
2,1,10,2.531
2,1,11,2.554
2,1,12,2.454
2,1,13,2.386
2,1,14,2.258
2,1,15,2.261
2,1,16,2.673
2,1,17,3.502
2,1,18,3.354
2,1,19,2.94
2,1,20,2.616
2,1,21,2.392
2,1,22,2.107
2,1,23,1.776
2,2,0,1.713
2,2,1,1.417
2,2,2,1.181
2,2,3,1.188
2,2,4,1.322
2,2,5,1.753
2,2,6,2.34
2,2,7,2.727
2,2,8,2.927
2,2,9,2.922
2,2,10,2.88
2,2,11,2.866
2,2,12,2.772
2,2,13,2.675
2,2,14,2.584
2,2,15,2.594
2,2,16,2.927
2,2,17,3.714
2,2,18,3.833
2,2,19,3.32
2,2,20,2.929
2,2,21,2.662
2,2,22,2.103
2,2,23,1.781
2,3,0,1.447
2,3,1,1.197
2,3,2,0.982
2,3,3,0.995
2,3,4,1.131
2,3,5,1.745
2,3,6,2.115
2,3,7,2.359
2,3,8,2.352
2,3,9,2.512
2,3,10,2.512
2,3,11,2.473
2,3,12,2.394
2,3,13,2.283
2,3,14,2.119
2,3,15,2.189
2,3,16,2.546
2,3,17,3.079
2,3,18,3.09
2,3,19,2.743
2,3,20,2.345
2,3,21,2.215
2,3,22,1.893
2,3,23,1.712
2,4,0,1.438
2,4,1,1.258
2,4,2,1.117
2,4,3,1.077
2,4,4,1.248
2,4,5,1.456
2,4,6,1.796
2,4,7,2.113
2,4,8,2.187
2,4,9,2.277
2,4,10,2.288
2,4,11,2.31
2,4,12,2.224
2,4,13,2.125
2,4,14,2.058
2,4,15,2.116
2,4,16,2.371
2,4,17,2.967
2,4,18,3.021
2,4,19,2.573
2,4,20,2.342
2,4,21,2.163
2,4,22,1.873
2,4,23,1.689
2,5,0,1.67
2,5,1,1.526
2,5,2,1.342
2,5,3,1.316
2,5,4,1.396
2,5,5,1.699
2,5,6,2.032
2,5,7,2.55
2,5,8,2.389
2,5,9,2.521
2,5,10,2.52
2,5,11,2.425
2,5,12,2.339
2,5,13,2.29
2,5,14,2.126
2,5,15,2.051
2,5,16,2.468
2,5,17,3.096
2,5,18,3.11
2,5,19,2.729
2,5,20,2.354
2,5,21,2.08
2,5,22,2.031
2,5,23,1.731
2,6,0,2.59
2,6,1,2.369
2,6,2,2.031
2,6,3,1.994
2,6,4,2.221
2,6,5,2.295
2,6,6,2.279
2,6,7,2.336
2,6,8,2.457
2,6,9,2.568
2,6,10,2.535
2,6,11,2.461
2,6,12,2.483
2,6,13,2.408
2,6,14,2.325
2,6,15,2.294
2,6,16,2.416
2,6,17,3.265
2,6,18,3.405
2,6,19,2.893
2,6,20,2.694
2,6,21,2.496
2,6,22,2.314
2,6,23,2.002
2,7,0,2.666
2,7,1,2.562
2,7,2,2.315
2,7,3,2.231
2,7,4,2.305
2,7,5,2.24
2,7,6,2.0
2,7,7,1.809
2,7,8,2.113
2,7,9,2.304
2,7,10,2.339
2,7,11,2.254
2,7,12,2.302
2,7,13,2.081
2,7,14,2.068
2,7,15,2.065
2,7,16,2.248
2,7,17,3.078
2,7,18,3.215
2,7,19,2.88
2,7,20,2.81
2,7,21,2.641
2,7,22,2.413
2,7,23,2.042
2,8,0,2.456
2,8,1,2.089
2,8,2,1.894
2,8,3,1.921
2,8,4,2.088
2,8,5,2.408
2,8,6,2.719
2,8,7,3.041
2,8,8,3.081
2,8,9,3.118
2,8,10,3.134
2,8,11,3.055
2,8,12,2.949
2,8,13,2.829
2,8,14,2.814
2,8,15,2.799
2,8,16,3.084
2,8,17,4.013
2,8,18,4.002
2,8,19,3.755
2,8,20,3.174
2,8,21,2.8
2,8,22,2.489
2,8,23,2.507
2,9,0,2.536
2,9,1,2.129
2,9,2,1.875
2,9,3,1.798
2,9,4,2.072
2,9,5,2.615
2,9,6,2.883
2,9,7,3.309
2,9,8,3.314
2,9,9,3.372
2,9,10,3.205
2,9,11,3.07
2,9,12,3.049
2,9,13,2.919
2,9,14,2.814
2,9,15,2.879
2,9,16,3.205
2,9,17,4.148
2,9,18,4.137
2,9,19,3.663
2,9,20,3.265
2,9,21,2.842
2,9,22,2.555
2,9,23,2.401
2,10,0,3.209
2,10,1,2.842
